inventory_id,product_id,store_id,stock_quantity,reorder_level,reorder_quantity,last_restock_date,next_restock_date,inventory_status
1,1,1,327,92,286,2025-06-25,2025-07-31,In Stock
2,2,1,304,29,141,2025-11-19,2025-12-27,In Stock
3,3,1,3,52,64,2025-08-18,2025-09-26,Low Stock
4,4,1,301,47,218,2025-02-01,2025-03-14,In Stock
5,5,1,79,52,266,2025-08-22,2025-09-22,In Stock
6,6,1,290,68,178,2025-05-13,2025-06-12,In Stock
7,7,1,424,37,225,2025-01-23,2025-02-28,Overstock
8,8,1,316,33,242,2025-11-25,2026-01-05,In Stock
9,9,1,150,89,271,2025-07-11,2025-08-14,In Stock
10,10,1,442,26,121,2025-02-24,2025-03-07,Overstock
11,11,1,186,88,71,2025-11-07,2025-11-23,In Stock
12,12,1,222,98,197,2025-01-02,2025-02-10,In Stock
13,13,1,157,79,63,2025-05-04,2025-05-18,In Stock
14,14,1,383,89,151,2025-04-30,2025-06-11,In Stock
15,15,1,266,84,205,2025-01-25,2025-02-04,In Stock
16,16,1,495,95,128,2025-02-10,2025-03-09,Overstock
17,17,1,153,92,169,2025-02-21,2025-03-08,In Stock
18,18,1,46,48,66,2025-05-22,2025-06-17,Low Stock
19,19,1,432,55,213,2025-12-06,2025-12-17,Overstock
20,20,1,151,55,122,2025-02-04,2025-02-23,In Stock
21,21,1,178,64,195,2025-02-07,2025-03-07,In Stock
22,22,1,490,60,146,2025-01-16,2025-02-04,Overstock
23,23,1,308,65,170,2025-09-12,2025-09-29,In Stock
24,24,1,166,71,50,2025-07-01,2025-07-15,In Stock
25,25,1,257,25,224,2025-06-06,2025-06-19,In Stock
26,26,1,350,55,244,2025-07-21,2025-07-28,In Stock
27,27,1,13,89,251,2025-08-09,2025-09-10,Low Stock
28,28,1,465,44,175,2025-03-09,2025-03-31,Overstock
29,29,1,80,57,180,2025-01-25,2025-02-09,In Stock
30,30,1,334,60,217,2025-03-02,2025-03-21,In Stock
31,31,1,412,49,158,2025-05-31,2025-07-14,Overstock
32,32,1,421,35,65,2025-07-21,2025-09-03,Overstock
33,33,1,176,78,243,2025-03-21,2025-04-03,In Stock
34,34,1,115,94,213,2025-11-21,2025-12-01,In Stock
35,35,1,478,52,124,2025-09-28,2025-11-04,Overstock
36,36,1,245,47,273,2025-04-17,2025-05-13,In Stock
37,37,1,320,84,218,2025-10-31,2025-11-19,In Stock
38,38,1,461,37,63,2025-06-30,2025-07-31,Overstock
39,39,1,38,31,279,2025-12-10,2026-01-20,In Stock
40,40,1,476,76,97,2025-02-15,2025-03-02,Overstock
41,41,1,475,91,182,2025-05-22,2025-07-01,Overstock
42,42,1,272,89,192,2025-04-06,2025-05-10,In Stock
43,43,1,206,34,106,2025-11-03,2025-11-18,In Stock
44,44,1,80,64,102,2025-05-22,2025-07-01,In Stock
45,45,1,142,40,284,2025-12-25,2026-01-08,In Stock
46,46,1,288,88,279,2025-02-21,2025-03-06,In Stock
47,47,1,264,57,158,2025-08-16,2025-09-16,In Stock
48,48,1,26,97,161,2025-06-09,2025-07-21,Low Stock
49,49,1,469,73,97,2025-12-13,2025-12-23,Overstock
50,50,1,60,82,175,2025-03-17,2025-04-13,Low Stock
51,51,1,323,82,93,2025-07-17,2025-08-10,In Stock
52,52,1,229,72,111,2025-01-12,2025-01-22,In Stock
53,53,1,99,97,105,2025-04-22,2025-05-22,In Stock
54,54,1,497,67,238,2025-01-02,2025-01-10,Overstock
55,55,1,490,38,180,2025-04-01,2025-04-25,Overstock
56,56,1,206,38,205,2025-07-16,2025-07-29,In Stock
57,57,1,478,61,115,2025-06-07,2025-06-28,Overstock
58,58,1,497,45,193,2025-03-22,2025-04-25,Overstock
59,59,1,86,37,208,2025-12-27,2026-01-25,In Stock
60,60,1,241,24,221,2025-05-01,2025-05-09,In Stock
61,61,1,454,97,134,2025-02-17,2025-03-25,Overstock
62,62,1,450,25,159,2025-02-15,2025-03-22,Overstock
63,63,1,283,97,189,2025-11-03,2025-12-18,In Stock
64,64,1,42,80,289,2025-04-15,2025-04-26,Low Stock
65,65,1,304,96,256,2025-04-12,2025-04-20,In Stock
66,66,1,371,49,73,2025-08-27,2025-09-09,In Stock
67,67,1,222,32,115,2025-12-01,2025-12-22,In Stock
68,68,1,131,22,132,2025-09-17,2025-09-24,In Stock
69,69,1,127,61,268,2025-09-27,2025-10-24,In Stock
70,70,1,274,34,130,2025-11-29,2025-12-09,In Stock
71,71,1,186,81,265,2025-11-18,2025-12-31,In Stock
72,72,1,28,66,300,2025-07-01,2025-07-22,Low Stock
73,73,1,416,20,53,2025-06-02,2025-07-01,Overstock
74,74,1,356,85,104,2025-08-24,2025-09-11,In Stock
75,75,1,52,89,156,2025-11-20,2025-12-25,Low Stock
76,76,1,461,93,94,2025-04-17,2025-05-14,Overstock
77,77,1,50,37,190,2025-05-29,2025-07-01,In Stock
78,78,1,461,32,208,2025-10-02,2025-11-05,Overstock
79,79,1,167,51,99,2025-01-20,2025-01-29,In Stock
80,80,1,475,76,196,2025-12-13,2025-12-30,Overstock
81,81,1,447,25,155,2025-12-29,2026-01-29,Overstock
82,82,1,454,74,199,2025-04-11,2025-05-17,Overstock
83,83,1,57,39,275,2025-05-21,2025-06-04,In Stock
84,84,1,436,30,77,2025-08-07,2025-09-07,Overstock
85,85,1,88,86,222,2025-10-16,2025-11-02,In Stock
86,86,1,241,37,52,2025-02-09,2025-03-13,In Stock
87,87,1,416,56,293,2025-12-14,2026-01-14,Overstock
88,88,1,90,44,200,2025-06-06,2025-07-16,In Stock
89,89,1,321,86,88,2025-03-15,2025-04-24,In Stock
90,90,1,54,25,174,2025-12-28,2026-01-22,In Stock
91,91,1,456,97,165,2025-09-09,2025-10-19,Overstock
92,92,1,130,66,159,2025-02-24,2025-03-03,In Stock
93,93,1,5,57,293,2025-11-08,2025-11-19,Low Stock
94,94,1,339,32,107,2025-03-07,2025-03-24,In Stock
95,95,1,229,65,250,2025-04-13,2025-05-14,In Stock
96,96,1,16,54,159,2025-06-27,2025-07-04,Low Stock
97,97,1,459,96,259,2025-01-21,2025-02-20,Overstock
98,98,1,479,37,140,2025-04-05,2025-05-07,Overstock
99,99,1,360,33,106,2025-04-22,2025-05-17,In Stock
100,100,1,184,63,113,2025-07-22,2025-08-20,In Stock
101,101,1,121,36,291,2025-05-24,2025-07-02,In Stock
102,102,1,85,58,85,2025-07-10,2025-07-30,In Stock
103,103,1,67,23,288,2025-05-12,2025-06-03,In Stock
104,104,1,144,62,188,2025-04-07,2025-05-09,In Stock
105,105,1,390,27,175,2025-06-23,2025-07-13,In Stock
106,106,1,48,39,57,2025-10-11,2025-11-12,In Stock
107,107,1,234,31,57,2025-05-11,2025-05-25,In Stock
108,108,1,286,71,93,2025-08-27,2025-09-06,In Stock
109,109,1,24,44,179,2025-02-22,2025-03-07,Low Stock
110,110,1,444,77,117,2025-10-10,2025-10-30,Overstock
111,111,1,449,54,161,2025-11-17,2025-12-11,Overstock
112,112,1,236,79,108,2025-12-04,2026-01-08,In Stock
113,113,1,423,39,248,2025-12-19,2026-01-14,Overstock
114,114,1,32,45,179,2025-01-21,2025-01-29,Low Stock
115,115,1,180,37,117,2025-02-19,2025-02-26,In Stock
116,116,1,420,69,142,2025-12-05,2025-12-24,Overstock
117,117,1,29,58,85,2025-01-10,2025-02-15,Low Stock
118,118,1,353,24,82,2025-02-10,2025-03-26,In Stock
