order_id,customer_id,store_id,employee_id,order_date,order_status,channel,payment_method,shipping_city,shipping_state,shipping_country,shipping_cost,total_amount
1,2442,,93,2023-12-13,Completed,Online,Debit Card,Mumbai,Maharashtra,India,16.18,11050.03
2,2656,,18,2025-12-03,Completed,Online,Cash on Delivery,Chandigarh,Chandigarh,India,485.21,442212.75
3,782,,14,2024-10-02,Completed,Online,Credit Card,Delhi,Delhi,India,331.46,145072.35
4,4959,,73,2023-04-25,Completed,Online,UPI,Jaipur,Rajasthan,India,363.55,98600.3
5,3320,,66,2023-07-19,Completed,Online,Credit Card,Jaipur,Rajasthan,India,55.91,238490.03
6,2903,1.0,88,2025-05-23,Cancelled,Store,Debit Card,Bhopal,Madhya Pradesh,India,288.88,156710.49
7,7492,,93,2024-04-02,Completed,Online,Cash on Delivery,Kolkata,West Bengal,India,477.87,193300.0
8,3424,15.0,78,2024-07-12,Completed,Store,UPI,Patna,Bihar,India,367.47,214066.13
9,9600,,10,2025-09-21,Completed,Online,Credit Card,Chandigarh,Chandigarh,India,401.86,60181.41
10,4761,,51,2025-04-08,Cancelled,Online,Credit Card,Surat,Gujarat,India,182.88,274802.53
11,5985,7.0,87,2025-06-24,Completed,Store,Cash on Delivery,Guwahati,Assam,India,435.3,78725.6
12,2955,,94,2025-01-19,Cancelled,Online,Debit Card,Mumbai,Maharashtra,India,203.88,123743.51
13,1965,,29,2024-08-18,Completed,Online,Credit Card,Chennai,Tamil Nadu,India,372.77,118948.27
14,6881,,26,2025-03-01,Completed,Online,Cash on Delivery,Hyderabad,Telangana,India,330.75,49652.28
15,4782,,91,2023-10-25,Completed,Online,Net Banking,Nagpur,Maharashtra,India,193.09,238037.25
16,7704,,5,2025-06-24,Completed,Online,Credit Card,Hyderabad,Telangana,India,433.52,227715.75
17,7827,,66,2023-04-04,Cancelled,Online,Cash on Delivery,Bhopal,Madhya Pradesh,India,466.19,202616.1
18,1333,,72,2023-02-15,Completed,Online,Debit Card,Mumbai,Maharashtra,India,36.17,84444.28
19,231,11.0,90,2023-11-29,Completed,Store,Net Banking,Indore,Madhya Pradesh,India,425.65,864776.26
20,4978,,5,2024-05-04,Completed,Online,UPI,Ahmedabad,Gujarat,India,419.81,318578.6
21,8297,6.0,83,2024-02-02,Cancelled,Store,UPI,Indore,Madhya Pradesh,India,311.5,129812.85
22,3476,,11,2023-06-12,Completed,Online,UPI,Lucknow,Uttar Pradesh,India,45.03,69451.19
23,7203,4.0,75,2025-04-09,Completed,Store,Cash on Delivery,Chennai,Tamil Nadu,India,262.14,54020.38
24,6221,,52,2025-02-18,Completed,Online,Net Banking,Pune,Maharashtra,India,397.5,223313.25
25,8078,12.0,75,2023-12-22,Completed,Store,UPI,Patna,Bihar,India,494.76,135817.57
26,1200,,58,2023-08-16,Completed,Online,Credit Card,Lucknow,Uttar Pradesh,India,310.52,370657.02
27,6605,,78,2025-06-28,Completed,Online,Credit Card,Patna,Bihar,India,237.43,244615.41
28,4242,,71,2024-06-01,Completed,Online,Credit Card,Bhubaneswar,Odisha,India,46.13,84237.37
29,5310,,2,2025-07-05,Cancelled,Online,Debit Card,Ahmedabad,Gujarat,India,56.47,285747.56
30,6186,4.0,17,2023-02-05,Completed,Store,Cash on Delivery,Guwahati,Assam,India,53.19,107043.23
31,6014,16.0,13,2024-06-29,Cancelled,Store,Cash on Delivery,Jaipur,Rajasthan,India,472.99,433954.34
32,2381,,94,2025-10-05,Cancelled,Online,Debit Card,Jaipur,Rajasthan,India,491.92,245925.04
33,6878,19.0,28,2023-06-07,Completed,Store,Cash on Delivery,Indore,Madhya Pradesh,India,58.79,190816.46
34,2190,,94,2023-05-19,Completed,Online,Net Banking,Bhubaneswar,Odisha,India,33.11,174645.37
35,7982,,62,2023-10-04,Completed,Online,Debit Card,Kochi,Kerala,India,303.45,227032.96
36,7654,14.0,92,2024-03-11,Completed,Store,Credit Card,Lucknow,Uttar Pradesh,India,153.56,149065.1
37,7376,14.0,99,2023-11-28,Completed,Store,Net Banking,Pune,Maharashtra,India,66.48,137608.52
38,2242,,85,2024-02-18,Cancelled,Online,Net Banking,Patna,Bihar,India,18.71,116530.51
39,6654,,90,2025-07-26,Completed,Online,Credit Card,Bhubaneswar,Odisha,India,264.26,345848.28
40,5167,1.0,83,2024-09-21,Completed,Store,Net Banking,Mumbai,Maharashtra,India,39.81,244996.4
41,727,13.0,51,2023-02-17,Cancelled,Store,Credit Card,Chandigarh,Chandigarh,India,307.67,42174.96
42,5812,,26,2024-11-14,Completed,Online,Net Banking,Bhubaneswar,Odisha,India,328.61,278504.14
43,9086,,52,2025-12-01,Completed,Online,UPI,Kolkata,West Bengal,India,432.74,221876.6
44,6542,,27,2025-01-16,Completed,Online,Credit Card,Kochi,Kerala,India,237.41,86117.57
45,4816,,95,2023-02-14,Completed,Online,Credit Card,Indore,Madhya Pradesh,India,5.03,292143.6
46,6375,18.0,36,2023-11-21,Completed,Store,Credit Card,Bhopal,Madhya Pradesh,India,344.13,29880.84
47,4242,11.0,77,2024-02-24,Cancelled,Store,Debit Card,Bhubaneswar,Odisha,India,398.68,42352.1
48,1068,,61,2024-03-13,Completed,Online,UPI,Mumbai,Maharashtra,India,11.2,441989.4
49,6108,,14,2025-07-10,Completed,Online,Cash on Delivery,Kochi,Kerala,India,65.55,175947.35
50,5179,9.0,13,2023-02-16,Completed,Store,Debit Card,Surat,Gujarat,India,207.39,210696.62
51,9377,8.0,100,2024-09-19,Completed,Store,Credit Card,Bengaluru,Karnataka,India,285.05,71953.56
52,1012,,36,2024-09-28,Completed,Online,Debit Card,Hyderabad,Telangana,India,161.66,222135.69
53,2902,2.0,7,2023-06-02,Completed,Store,Credit Card,Hyderabad,Telangana,India,165.46,111337.77
54,2570,20.0,80,2025-05-14,Completed,Store,Net Banking,Lucknow,Uttar Pradesh,India,139.01,274701.91
55,1066,18.0,85,2023-07-19,Cancelled,Store,Debit Card,Guwahati,Assam,India,305.17,78926.84
56,9150,,94,2025-03-08,Completed,Online,Net Banking,Raipur,Chhattisgarh,India,328.48,215700.09
57,3643,,75,2023-08-27,Cancelled,Online,Net Banking,Delhi,Delhi,India,137.63,312446.39
58,8328,,23,2023-07-04,Completed,Online,Net Banking,Lucknow,Uttar Pradesh,India,133.51,94229.03
59,6342,,69,2025-08-29,Completed,Online,Cash on Delivery,Delhi,Delhi,India,301.39,42982.71
60,857,,70,2024-06-04,Completed,Online,Cash on Delivery,Nagpur,Maharashtra,India,379.92,212587.14
61,5368,,94,2024-04-19,Completed,Online,Net Banking,Raipur,Chhattisgarh,India,293.34,188518.64
62,2994,,94,2023-06-21,Completed,Online,UPI,Lucknow,Uttar Pradesh,India,407.86,44211.13
63,2208,,28,2024-04-14,Completed,Online,Debit Card,Bhubaneswar,Odisha,India,201.58,151703.29
64,9202,,55,2023-12-31,Completed,Online,Debit Card,Kochi,Kerala,India,380.39,219607.58
65,8980,,66,2023-01-08,Completed,Online,Debit Card,Kolkata,West Bengal,India,357.57,403191.0
66,5878,,12,2023-09-27,Completed,Online,UPI,Mumbai,Maharashtra,India,430.72,326306.9
67,2479,,33,2024-11-17,Completed,Online,Net Banking,Hyderabad,Telangana,India,136.48,114176.29
68,2235,,46,2023-04-17,Cancelled,Online,Cash on Delivery,Patna,Bihar,India,215.89,155804.27
69,415,,80,2025-11-12,Cancelled,Online,Debit Card,Kochi,Kerala,India,13.84,25136.2
