return_id,order_id,order_item_id,customer_id,product_id,return_date,return_quantity,return_reason,refund_amount,return_status
1,6,18,2903,972,2025-05-23,1,Damaged Product,30308.67,Completed
2,9,28,9600,956,2025-09-21,1,Late Delivery,39326.14,Completed
3,19,57,231,483,2023-11-29,4,Size/Fit Issue,325780.24,Completed
4,35,105,7982,726,2023-10-04,2,Wrong Product,98255.66,Completed
5,52,160,1012,316,2024-09-28,1,Wrong Product,62772.3,Completed
6,66,205,5878,694,2023-09-27,2,Wrong Product,151313.54,Completed
7,76,236,6261,462,2024-10-30,1,Damaged Product,42608.45,Completed
8,79,244,3088,878,2024-11-07,1,Wrong Product,81467.72,Completed
9,82,252,290,901,2023-05-06,2,Late Delivery,98129.56,Completed
10,83,261,1593,754,2023-10-02,1,Damaged Product,10158.79,Completed
11,85,267,4813,652,2025-05-10,1,Wrong Product,44850.32,Completed
12,88,276,1257,188,2024-08-02,2,Late Delivery,102071.26,Completed
13,90,285,7992,132,2024-07-29,2,Wrong Product,109873.0,Completed
14,90,287,7992,395,2024-07-29,1,Changed Mind,32399.17,Completed
15,93,299,7070,933,2025-03-28,3,Wrong Product,101575.26,Completed
16,95,304,6659,555,2023-12-28,1,Product Not as Expected,39589.69,Completed
17,99,318,3812,216,2025-01-29,1,Size/Fit Issue,2917.11,Completed
18,100,322,9750,466,2025-05-27,1,Product Not as Expected,39504.07,Completed
19,106,337,4959,133,2024-01-11,1,Changed Mind,12468.39,Completed
20,111,353,2677,202,2023-07-04,1,Product Not as Expected,32355.55,Completed
21,113,359,6954,739,2024-03-03,1,Size/Fit Issue,49616.69,Completed
22,126,398,2551,46,2024-03-03,1,Wrong Product,46849.91,Completed
23,130,407,6804,869,2023-04-27,2,Wrong Product,55199.48,Completed
24,131,409,2185,75,2025-04-09,2,Changed Mind,18632.18,Completed
25,132,411,7793,684,2023-01-26,1,Product Not as Expected,24811.38,Completed
26,133,412,3668,352,2024-10-01,1,Size/Fit Issue,3351.05,Completed
27,144,440,5259,388,2024-12-20,1,Wrong Product,31725.59,Completed
28,149,455,8988,383,2024-05-09,1,Product Not as Expected,37571.74,Completed
29,160,489,2770,64,2024-02-10,1,Quality Issue,12866.2,Completed
30,167,503,8009,77,2025-04-25,1,Damaged Product,55961.89,Completed
31,175,519,7615,544,2024-09-21,1,Changed Mind,60516.54,Completed
32,181,540,2972,719,2024-09-24,4,Quality Issue,310931.0,Completed
33,182,543,2242,773,2023-01-10,1,Damaged Product,10661.83,Completed
34,188,565,3216,862,2023-11-23,1,Size/Fit Issue,57732.85,Completed
35,219,661,5607,470,2024-11-15,3,Product Not as Expected,108151.83,Completed
36,227,677,2436,359,2023-05-28,1,Damaged Product,33738.98,Completed
37,227,678,2436,189,2023-05-28,1,Product Not as Expected,20527.13,Completed
38,255,754,7500,950,2025-11-20,1,Product Not as Expected,4878.32,Completed
39,256,758,2877,758,2025-05-04,2,Size/Fit Issue,141369.24,Completed
40,257,763,5033,308,2023-09-07,1,Late Delivery,11798.26,Completed
41,268,794,2261,187,2024-04-15,1,Size/Fit Issue,11139.84,Completed
42,273,807,8435,373,2025-08-23,1,Product Not as Expected,34142.24,Completed
43,290,864,4173,439,2025-04-18,1,Wrong Product,45327.89,Completed
44,301,902,9096,946,2023-12-30,1,Quality Issue,10079.07,Completed
45,302,905,9972,619,2024-06-29,2,Product Not as Expected,73559.9,Completed
46,321,965,475,381,2024-06-22,3,Size/Fit Issue,25848.81,Completed
47,326,979,534,314,2025-01-12,1,Quality Issue,18663.84,Completed
48,339,1008,4574,41,2023-09-20,2,Product Not as Expected,94351.28,Completed
49,342,1019,2427,226,2024-03-07,1,Late Delivery,3033.14,Completed
50,347,1033,2322,97,2025-02-22,1,Product Not as Expected,6899.98,Completed
51,357,1059,4908,34,2025-06-29,1,Product Not as Expected,54888.32,Completed
52,363,1078,9137,35,2024-11-30,3,Quality Issue,83863.89,Completed
53,367,1089,5342,480,2025-10-04,1,Quality Issue,4003.79,Completed
54,368,1090,1805,555,2025-02-14,1,Wrong Product,39589.69,Completed
55,372,1107,650,721,2023-11-08,1,Late Delivery,56611.31,Completed
56,388,1144,9035,523,2024-10-20,1,Size/Fit Issue,19573.08,Completed
57,390,1146,8007,542,2024-02-29,1,Late Delivery,71946.34,Completed
58,401,1181,5932,53,2023-03-01,1,Quality Issue,69627.87,Completed
59,412,1209,7460,509,2025-08-03,2,Changed Mind,38496.32,Completed
60,413,1213,7835,740,2025-09-12,1,Changed Mind,38333.46,Completed
61,414,1215,410,447,2025-10-23,1,Changed Mind,2781.28,Completed
62,415,1218,7007,101,2025-01-27,2,Wrong Product,149393.32,Completed
63,417,1223,8897,904,2024-08-29,1,Size/Fit Issue,59389.18,Completed
64,433,1275,1839,147,2024-09-27,1,Damaged Product,18186.11,Completed
65,436,1280,114,108,2024-05-28,1,Wrong Product,18525.05,Completed
66,439,1286,8838,993,2024-08-02,3,Changed Mind,165373.29,Completed
67,441,1293,87,526,2025-07-02,2,Late Delivery,19031.44,Completed
68,443,1298,876,306,2023-06-29,2,Late Delivery,87705.76,Completed
69,447,1305,7532,443,2025-07-20,3,Changed Mind,64871.97,Completed
70,447,1307,7532,28,2025-07-20,1,Quality Issue,16204.3,Completed
71,449,1312,1100,781,2025-11-13,2,Damaged Product,61375.94,Completed
72,451,1318,9765,634,2024-05-02,1,Size/Fit Issue,39143.06,Completed
73,456,1338,7339,453,2023-03-02,1,Product Not as Expected,16365.34,Completed
74,458,1341,1107,17,2025-05-14,2,Damaged Product,9930.04,Completed
75,459,1342,2836,214,2025-07-25,1,Size/Fit Issue,17174.56,Completed
76,466,1368,7607,517,2025-07-14,1,Size/Fit Issue,27837.58,Completed
77,481,1415,9445,845,2025-12-15,1,Product Not as Expected,16357.94,Completed
78,483,1418,7730,573,2024-10-30,2,Wrong Product,34422.62,Completed
79,484,1423,163,434,2023-06-14,1,Quality Issue,9458.96,Completed
80,485,1425,194,555,2023-08-11,1,Wrong Product,39589.69,Completed
81,489,1433,4183,777,2025-10-03,2,Damaged Product,71900.14,Completed
82,501,1464,5816,239,2025-01-03,1,Size/Fit Issue,2561.84,Completed
83,502,1466,2637,716,2024-03-07,1,Size/Fit Issue,37907.5,Completed
84,509,1495,6878,798,2024-12-18,1,Quality Issue,52611.13,Completed
85,516,1513,1131,320,2024-01-10,1,Wrong Product,28226.5,Completed
86,561,1636,3917,2,2025-08-28,2,Damaged Product,152789.86,Completed
87,567,1655,8864,953,2025-12-15,2,Damaged Product,24141.18,Completed
88,568,1661,8772,990,2024-04-12,1,Wrong Product,16191.64,Completed
89,575,1680,6906,776,2024-06-10,1,Size/Fit Issue,26241.11,Completed
90,577,1683,8140,306,2024-03-09,1,Late Delivery,43852.88,Completed
91,595,1736,1616,31,2025-02-20,2,Quality Issue,10556.4,Completed
92,598,1751,8556,603,2024-11-25,1,Quality Issue,3198.92,Completed
93,600,1756,6444,21,2024-12-27,1,Late Delivery,16665.28,Completed
94,610,1786,3749,528,2025-05-02,1,Changed Mind,48686.63,Completed
95,610,1787,3749,808,2025-05-02,1,Product Not as Expected,14621.63,Completed
96,612,1798,363,20,2024-02-26,1,Changed Mind,4130.41,Completed
97,621,1818,4287,462,2024-03-16,1,Damaged Product,42608.45,Completed
98,621,1820,4287,712,2024-03-16,2,Wrong Product,14077.4,Completed
99,622,1824,728,589,2024-04-05,1,Late Delivery,60461.14,Completed
100,632,1853,4778,978,2023-02-03,1,Changed Mind,70358.3,Completed
101,633,1857,1804,922,2025-09-20,4,Quality Issue,51947.52,Completed
102,635,1864,8141,535,2023-04-11,1,Size/Fit Issue,41797.84,Completed
103,636,1869,1210,603,2025-10-24,1,Late Delivery,3198.92,Completed
104,637,1870,9082,818,2023-01-28,1,Changed Mind,2517.2,Completed
105,645,1897,1648,694,2023-03-11,2,Late Delivery,151313.54,Completed
106,648,1906,3198,273,2023-07-18,1,Size/Fit Issue,58733.95,Completed
107,681,2009,4367,975,2025-04-04,2,Quality Issue,105625.86,Completed
108,689,2028,2894,804,2024-01-11,1,Quality Issue,65569.03,Completed
109,697,2051,1022,488,2024-03-15,1,Size/Fit Issue,10814.51,Completed
110,702,2073,4426,675,2024-07-07,1,Late Delivery,37207.72,Completed
111,708,2085,1340,833,2023-10-01,1,Late Delivery,49984.05,Completed
112,708,2087,1340,776,2023-10-01,2,Wrong Product,52482.22,Completed
113,717,2102,9447,43,2023-11-08,2,Product Not as Expected,89854.86,Completed
114,717,2103,9447,123,2023-11-08,1,Size/Fit Issue,12737.25,Completed
115,721,2120,3942,759,2023-09-08,1,Product Not as Expected,78235.66,Completed
116,723,2123,4308,638,2025-02-22,1,Late Delivery,48836.11,Completed
117,723,2126,4308,137,2025-02-22,1,Changed Mind,55784.74,Completed
118,731,2149,3992,353,2025-05-07,2,Quality Issue,89216.54,Completed
119,738,2174,7665,651,2023-10-08,1,Wrong Product,58787.12,Completed
120,747,2197,2202,522,2023-10-05,1,Wrong Product,7220.86,Completed
121,751,2203,9635,156,2024-07-20,1,Wrong Product,25532.83,Completed
122,772,2263,3674,268,2025-09-17,1,Quality Issue,76721.52,Completed
123,774,2267,9560,732,2025-10-21,3,Damaged Product,183460.41,Completed
124,776,2270,6598,512,2024-10-08,2,Damaged Product,16256.04,Completed
125,777,2273,5227,932,2023-05-21,2,Quality Issue,107357.38,Completed
126,780,2286,8560,83,2025-11-27,1,Damaged Product,37264.04,Completed
127,788,2310,3978,57,2023-04-10,2,Changed Mind,109431.3,Completed
128,789,2311,1915,901,2024-06-21,2,Damaged Product,98129.56,Completed
129,791,2319,6125,626,2025-07-03,1,Changed Mind,59305.86,Completed
130,798,2339,1400,92,2023-03-29,1,Product Not as Expected,20472.41,Completed
131,801,2346,3613,641,2023-12-19,4,Late Delivery,49663.36,Completed
132,807,2367,2471,835,2025-02-01,1,Wrong Product,33595.66,Completed
133,823,2409,5681,63,2025-10-30,1,Changed Mind,19746.23,Completed
134,826,2412,2385,20,2023-06-13,1,Quality Issue,4130.41,Completed
135,829,2421,8388,201,2024-06-12,1,Late Delivery,26322.63,Completed
136,830,2424,8468,300,2025-05-18,3,Size/Fit Issue,127434.75,Completed
137,835,2434,8480,292,2024-09-14,1,Changed Mind,55597.58,Completed
138,842,2461,8433,972,2023-11-15,1,Product Not as Expected,30308.67,Completed
